Sex,Diet,Bodyweight
M,chow,45.23
M,chow,23.73
M,chow,34.03
M,chow,24.98
M,chow,28.56
M,chow,29.32
M,chow,39.16
M,chow,32.04
M,chow,32.09
M,chow,24.16
M,chow,27.38
M,chow,30.29
M,chow,36.79
M,chow,28.63
M,chow,31.01
M,chow,32.11
M,chow,31.22
M,chow,32.05
M,chow,24.58
M,chow,35.15
M,chow,30.71
M,chow,32.81
M,chow,33.96
M,chow,29.34
M,chow,31.56
M,chow,35.51
M,chow,36.2
M,chow,36.64
M,chow,25.14
M,chow,32.1
M,chow,28.74
M,chow,31.55
M,chow,28.88
M,chow,36.21
M,chow,33.39
M,chow,33.83
M,chow,34.11
M,chow,29.38
M,chow,31.71
M,chow,31.95
M,chow,31.77
M,chow,33
M,chow,31.64
M,chow,37.5
M,chow,23.66
M,chow,33.92
M,chow,31.63
M,chow,25.65
M,chow,39.98
M,chow,25.63
M,chow,28.19
M,chow,33.89
M,chow,29.87
M,chow,29.72
M,chow,26.64
M,chow,39.85
M,chow,33
M,chow,36.63
M,chow,31.37
M,chow,33.46
M,chow,29.99
M,chow,24.19
M,chow,29.31
M,chow,31.83
M,chow,28.8
M,chow,32.24
M,chow,29.89
M,chow,36.53
M,chow,24
M,chow,37.98
M,chow,25.24
M,chow,31.48
M,chow,29.21
M,chow,25.91
M,chow,29.09
M,chow,27.27
M,chow,25.66
M,chow,32.06
M,chow,33.11
M,chow,25.73
M,chow,32.76
M,chow,30.81
M,chow,33.14
M,chow,29.2
M,chow,27.65
M,chow,26.92
M,chow,27.29
M,chow,27.66
M,chow,28.81
M,chow,26.01
M,chow,28.78
M,chow,29.76
M,chow,29.91
M,chow,29.87
M,chow,25.65
M,chow,25.67
M,chow,36.25
M,chow,27.93
M,chow,32.5
M,chow,27.36
M,chow,31.18
M,chow,30.32
M,chow,27.79
M,chow,32.35
M,chow,27.64
M,chow,34.62
M,chow,39.38
M,chow,30.93
M,chow,32.81
M,chow,30.83
M,chow,39.22
M,chow,34.48
M,chow,34.53
M,chow,32.11
M,chow,36.27
M,chow,30.02
M,chow,28.54
M,chow,33.52
M,chow,33.43
M,chow,36.85
M,chow,24.67
M,chow,33.4
M,chow,31.29
M,chow,23.63
M,chow,27.8
M,chow,23.1
M,chow,27.26
M,chow,32.23
M,chow,28.17
M,chow,32.23
M,chow,29.59
M,chow,26.33
M,chow,31.84
M,chow,26.26
M,chow,21.23
M,chow,30.29
M,chow,25.41
M,chow,33.55
M,chow,26.69
M,chow,26.04
M,chow,22.42
M,chow,28.22
M,chow,32.91
M,chow,32.65
M,chow,26.94
M,chow,27.79
M,chow,33.63
M,chow,21.67
M,chow,32.89
M,chow,29.08
M,chow,33.17
M,chow,40.28
M,chow,32.73
M,chow,31.66
M,chow,29.57
M,chow,27.29
M,chow,35.17
M,chow,30.36
M,chow,37.13
M,chow,36.44
M,chow,29.88
M,chow,27.77
M,chow,42.31
M,chow,20.72
M,chow,29.65
M,chow,26.55
M,chow,34.35
M,chow,32.98
M,chow,35.35
M,chow,32.1
M,chow,23
M,chow,40.7
M,chow,NA
M,chow,28.95
M,chow,28.39
M,chow,35.13
M,chow,29.16
M,chow,32.69
M,chow,26.42
M,chow,31.77
M,chow,27.01
M,chow,30.58
M,chow,25.76
M,chow,38.37
M,chow,37.51
M,chow,35.03
M,chow,32.47
M,chow,29.85
M,chow,36.2
M,chow,28.18
M,chow,36.1
M,chow,40.45
M,chow,30.55
M,chow,22.96
M,chow,28.61
M,chow,32.2
M,chow,33.21
M,chow,46.71
M,chow,30.53
M,chow,30.8
M,chow,35.83
M,chow,25.99
M,chow,36.58
M,chow,31.8
M,chow,28.71
M,chow,37.02
M,chow,32.51
M,chow,26.65
M,chow,32.15
M,chow,33.83
M,chow,27.07
M,chow,28.38
M,chow,41.7
M,chow,30.87
M,chow,29.21
M,chow,34.74
M,chow,30.06
M,chow,33.53
M,chow,30.86
M,chow,27.9
M,chow,31.57
M,chow,26.09
M,chow,23.14
M,chow,31.28
